Program, File, Original Size, Compressed Size, Compression Ratio, Time, Nerdy Time
LZSS + deltas,progp.dat,50.1 KB,15.3 KB,3.278107642214135,181 ms,181
LZSS + deltas,ptt5,501.2 KB,102.9 KB,4.870469664904672,948 ms,948
LZSS + deltas,reymont.dat,6.3 MB,2.5 MB,2.5573009739982857,22.877 s,22877
LZSS + deltas,samba.dat,20.6 MB,7.7 MB,2.676080045093455,1 m 17 s,77386
LZSS + deltas,sao.dat,6.9 MB,5.8 MB,1.2004425051965226,1 m 4 s,64781
LZSS + deltas,sum,37.3 KB,17.4 KB,2.142536978933214,275 ms,275
LZSS + deltas,trans.dat,91.5 KB,33.0 KB,2.7723695111847557,409 ms,409
LZSS + deltas,x-ray.dat,8.1 MB,6.9 MB,1.167100058849154,1 m 11 s,71708
LZSS + deltas,xargs.1,4.2 KB,2.1 KB,2.0266230733302195,102 ms,102
LZSS + deltas,xml.dat,5.1 MB,1.2 MB,4.130997941178289,10.32 s,10032
LZSS + deltas,Average, , ,2.395154979774209,14.400 s,14400.5
Canonical Huffman,alice29.txt,148.5 KB,85.9 KB,1.7293256165645219,229 ms,229
Canonical Huffman,asyoulik.txt,126.3 KB,77.5 KB,1.630262378172557,185 ms,185
Canonical Huffman,bib.dat,114.8 KB,75.6 KB,1.5176911157024793,198 ms,198
Canonical Huffman,book1.dat,750.8 KB,428.4 KB,1.7526479935435921,342 ms,342
Canonical Huffman,book2.dat,611.8 KB,372.9 KB,1.640477094489323,341 ms,341
Canonical Huffman,cp.html,24.7 KB,16.6 KB,1.4848270995059987,181 ms,181
Canonical Huffman,dickens.dat,9.7 MB,5.6 MB,1.7494211475027728,891 ms,891
Canonical Huffman,fields.c,11.3 KB,7.4 KB,1.5188196721311475,196 ms,196
Canonical Huffman,geo.dat,100.0 KB,71.1 KB,1.40626502053092,236 ms,236
Canonical Huffman,grammar.lsp,3.7 KB,2.5 KB,1.520526106018334,165 ms,165
Canonical Huffman,kennedy.xls,1005.6 KB,452.0 KB,2.224934099649972,236 ms,236
Canonical Huffman,lcet10.txt,416.8 KB,244.9 KB,1.7014081587088954,238 ms,238
Canonical Huffman,mr.dat,9.5 MB,4.4 MB,2.156462511468401,893 ms,893
Canonical Huffman,news.dat,378.1 KB,249.1 KB,1.5179427666322958,223 ms,223
Canonical Huffman,obj1.dat,21.0 KB,15.9 KB,1.3184549356223176,232 ms,232
Canonical Huffman,obj2.dat,241.0 KB,189.8 KB,1.2699067690217951,295 ms,295
Canonical Huffman,ooffice.dat,5.9 MB,4.9 MB,1.2004916554579395,724 ms,724
Canonical Huffman,osdb.dat,9.6 MB,8.0 MB,1.2089726658850333,1.152 s,1152
Canonical Huffman,paper1.dat,53.1 KB,33.9 KB,1.5688541606597082,173 ms,173
Canonical Huffman,paper2.dat,82.0 KB,48.3 KB,1.6982315567965682,157 ms,157
Canonical Huffman,pic.dat,501.2 KB,104.3 KB,4.804898371890536,196 ms,196
Canonical Huffman,plrabn12.txt,470.6 KB,269.4 KB,1.746854211604343,196 ms,196
Canonical Huffman,progc.dat,40.1 KB,26.7 KB,1.5047047193644052,152 ms,152
Canonical Huffman,progl.dat,72.2 KB,44.0 KB,1.6411976367109413,170 ms,170
Canonical Huffman,progp.dat,50.1 KB,31.2 KB,1.604681688908335,172 ms,172
Canonical Huffman,ptt5,501.2 KB,104.3 KB,4.804898371890536,196 ms,196
Canonical Huffman,reymont.dat,6.3 MB,3.8 MB,1.6438261908323084,629 ms,629
Canonical Huffman,samba.dat,20.6 MB,15.8 MB,1.3057308654836262,1.883 s,1883
Canonical Huffman,sao.dat,6.9 MB,6.5 MB,1.059446015899994,990 ms,990
Canonical Huffman,sum,37.3 KB,25.3 KB,1.4762198888202593,178 ms,178
Canonical Huffman,trans.dat,91.5 KB,63.9 KB,1.4309604899430335,184 ms,184
Canonical Huffman,x-ray.dat,8.1 MB,6.7 MB,1.2065999747409992,1.27 s,1027
Canonical Huffman,xargs.1,4.2 KB,2.9 KB,1.4678619756427604,156 ms,156
Canonical Huffman,xml.dat,5.1 MB,3.5 MB,1.4402634533633711,566 ms,566
Canonical Huffman,Average, , ,1.7339431287988238,411 ms,411.2352941176471
Adaptive Huffman,alice29.txt,148.5 KB,86.2 KB,1.7223537139168545,293 ms,293
Adaptive Huffman,asyoulik.txt,126.3 KB,77.8 KB,1.6239763878422506,206 ms,206
Adaptive Huffman,bib.dat,114.8 KB,75.8 KB,1.5147765791542616,204 ms,204
Adaptive Huffman,book1.dat,750.8 KB,428.9 KB,1.7505726920396945,241 ms,241
Adaptive Huffman,book2.dat,611.8 KB,374.4 KB,1.6342677372399868,239 ms,239
Adaptive Huffman,cp.html,24.7 KB,16.7 KB,1.477701041788599,196 ms,196
Adaptive Huffman,dickens.dat,9.7 MB,5.6 MB,1.7501853652304624,1.63 s,1063
Adaptive Huffman,fields.c,11.3 KB,7.6 KB,1.4883691042282483,158 ms,158
Adaptive Huffman,geo.dat,100.0 KB,71.4 KB,1.4008207934336525,317 ms,317
Adaptive Huffman,grammar.lsp,3.7 KB,2.4 KB,1.5278334000800962,158 ms,158
Adaptive Huffman,kennedy.xls,1005.6 KB,463.0 KB,2.1719608190538864,231 ms,231
Adaptive Huffman,lcet10.txt,416.8 KB,246.0 KB,1.693871556719854,216 ms,216
Adaptive Huffman,mr.dat,9.5 MB,4.4 MB,2.148994254298069,778 ms,778
Adaptive Huffman,news.dat,378.1 KB,250.0 KB,1.5120973883701039,213 ms,213
Adaptive Huffman,obj1.dat,21.0 KB,16.5 KB,1.2724260355029586,160 ms,160
Adaptive Huffman,obj2.dat,241.0 KB,196.5 KB,1.226539050231578,194 ms,194
Adaptive Huffman,ooffice.dat,5.9 MB,4.9 MB,1.205457700081217,695 ms,695
Adaptive Huffman,osdb.dat,9.6 MB,8.0 MB,1.208879924353341,1.72 s,1072
Adaptive Huffman,paper1.dat,53.1 KB,34.4 KB,1.5448015444892398,191 ms,191
Adaptive Huffman,paper2.dat,82.0 KB,48.6 KB,1.68713691277866,189 ms,189
Adaptive Huffman,pic.dat,501.2 KB,105.8 KB,4.738880322071303,264 ms,264
Adaptive Huffman,plrabn12.txt,470.6 KB,269.8 KB,1.744097494941744,234 ms,234
Adaptive Huffman,progc.dat,40.1 KB,27.0 KB,1.484218129288552,202 ms,202
Adaptive Huffman,progl.dat,72.2 KB,44.9 KB,1.6054667130192943,199 ms,199
Adaptive Huffman,progp.dat,50.1 KB,31.6 KB,1.5856031128404668,176 ms,176
Adaptive Huffman,ptt5,501.2 KB,105.8 KB,4.738880322071303,229 ms,229
Adaptive Huffman,reymont.dat,6.3 MB,3.8 MB,1.6417444718844656,619 ms,619
Adaptive Huffman,samba.dat,20.6 MB,15.1 MB,1.3672305222773262,1.771 s,1771
Adaptive Huffman,sao.dat,6.9 MB,6.5 MB,1.060587633265503,955 ms,955
Adaptive Huffman,sum,37.3 KB,27.9 KB,1.3403434980722047,186 ms,186
Adaptive Huffman,trans.dat,91.5 KB,65.2 KB,1.404112155134949,181 ms,181
Adaptive Huffman,x-ray.dat,8.1 MB,6.5 MB,1.2364481879558125,973 ms,973
Adaptive Huffman,xargs.1,4.2 KB,2.9 KB,1.473845108695652,168 ms,168
Adaptive Huffman,xml.dat,5.1 MB,3.5 MB,1.4720743263581688,534 ms,534
Adaptive Huffman,Average, , ,1.7193104117267575,403 ms,403.0882352941176
DEFLATE,alice29.txt,148.5 KB,53.1 KB,2.794931637753602,239 ms,239
DEFLATE,asyoulik.txt,126.3 KB,48.2 KB,2.6200279629592105,87 ms,87
DEFLATE,bib.dat,114.8 KB,35.4 KB,3.2411339694445975,41 ms,41
DEFLATE,book1.dat,750.8 KB,306.2 KB,2.4514850411678797,138 ms,138
DEFLATE,book2.dat,611.8 KB,204.9 KB,2.98640010296452,120 ms,120
DEFLATE,cp.html,24.7 KB,7.8 KB,3.1504866483653604,31 ms,31
DEFLATE,dickens.dat,9.7 MB,3.7 MB,2.6325872768326444,1.445 s,1445
DEFLATE,fields.c,11.3 KB,3.1 KB,3.667194426852438,28 ms,28
DEFLATE,geo.dat,100.0 KB,66.8 KB,1.496091752502009,104 ms,104
DEFLATE,grammar.lsp,3.7 KB,1.2 KB,3.0642570281124497,29 ms,29
DEFLATE,kennedy.xls,1005.6 KB,199.2 KB,5.04766573204447,120 ms,120
DEFLATE,lcet10.txt,416.8 KB,141.5 KB,2.9448370090259184,82 ms,82
DEFLATE,mr.dat,9.5 MB,3.5 MB,2.712375267039595,1.288 s,1288
DEFLATE,news.dat,378.1 KB,143.1 KB,2.6412705343011518,71 ms,71
DEFLATE,obj1.dat,21.0 KB,10.1 KB,2.0819053151321523,32 ms,32
DEFLATE,obj2.dat,241.0 KB,79.6 KB,3.0277610805108135,59 ms,59
DEFLATE,ooffice.dat,5.9 MB,3.0 MB,1.9863042269636904,831 ms,831
DEFLATE,osdb.dat,9.6 MB,3.5 MB,2.7294146810630706,949 ms,949
DEFLATE,paper1.dat,53.1 KB,18.4 KB,2.895280157505454,33 ms,33
DEFLATE,paper2.dat,82.0 KB,29.4 KB,2.7862430700793412,39 ms,39
DEFLATE,pic.dat,501.2 KB,55.2 KB,9.087168227774137,62 ms,62
DEFLATE,plrabn12.txt,470.6 KB,190.7 KB,2.467627372959907,104 ms,104
DEFLATE,progc.dat,40.1 KB,13.1 KB,3.0553862166381682,31 ms,31
DEFLATE,progl.dat,72.2 KB,16.0 KB,4.513744654856445,36 ms,36
DEFLATE,progp.dat,50.1 KB,11.1 KB,4.524984577421344,80 ms,80
DEFLATE,ptt5,501.2 KB,55.2 KB,9.087168227774137,61 ms,61
DEFLATE,reymont.dat,6.3 MB,1.8 MB,3.5613211577514545,924 ms,924
DEFLATE,samba.dat,20.6 MB,5.2 MB,3.963446568112474,1.556 s,1556
DEFLATE,sao.dat,6.9 MB,5.1 MB,1.3601277314593485,1.74 s,1074
DEFLATE,sum,37.3 KB,12.7 KB,2.9410859867712658,33 ms,33
DEFLATE,trans.dat,91.5 KB,18.6 KB,4.916566091200084,176 ms,176
DEFLATE,x-ray.dat,8.1 MB,5.8 MB,1.401829472952521,1.36 s,1036
