Program, File, Original Size, Compressed Size, Compression Ratio
WinRAR m5,cbook2.dat,201.8 KB,201.9 KB,0.999608236
WinRAR m5,cdickens.dat,3.7 MB,3.7 MB,0.999978563
WinRAR m5,cgeo.dat,66.8 KB,66.9 KB,0.998847119
WinRAR m5,cmozilla.dat,18.2 MB,18.1 MB,1.00624151
WinRAR m5,cmr.dat,3.5 MB,3.5 MB,0.999978781
WinRAR m5,cnci.dat,3.1 MB,3.0 MB,1.005486787
WinRAR m5,cnews.dat,141.4 KB,141.5 KB,0.999447865
WinRAR m5,cobj1.dat,10.1 KB,10.2 KB,0.992314343
WinRAR m5,cobj2.dat,79.6 KB,79.7 KB,0.999019572
WinRAR m5,cooffice.dat,3.0 MB,3.0 MB,0.999973203
WinRAR m5,cosdb.dat,3.5 MB,3.5 MB,0.999978351
WinRAR m5,cpaper1.dat,18.1 KB,18.2 KB,0.995603689
WinRAR m5,cpaper2.dat,29.1 KB,29.2 KB,0.997253299
WinRAR m5,cpic.dat,55.2 KB,54.9 KB,1.003839249
WinRAR m5,cprogc.dat,13.0 KB,13.1 KB,0.99397142
WinRAR m5,cprogl.dat,15.9 KB,16.0 KB,0.995045265
WinRAR m5,cprogp.dat,11.0 KB,11.1 KB,0.992845155
WinRAR m5,creymont.dat,1.8 MB,1.8 MB,0.9999554
WinRAR m5,csamba.dat,5.2 MB,5.1 MB,1.019217826
WinRAR m5,csao.dat,5.1 MB,5.1 MB,0.999985183
WinRAR m5,ctrans.dat,18.6 KB,18.7 KB,0.995767583
WinRAR m5,cwebster.dat,11.6 MB,11.6 MB,0.999993205
WinRAR m5,cx-ray.dat,5.8 MB,5.8 MB,0.999986601
WinRAR m5,cxml.dat,671.9 KB,672.0 KB,0.999885189
WinRAR m5,dickens.dat,9.7 MB,2.9 MB,3.339522363
WinRAR m5,geo.dat,100.0 KB,61.0 KB,1.639633004
WinRAR m5,mr.dat,9.5 MB,2.7 MB,3.577521804
WinRAR m5,news.dat,368.3 KB,122.9 KB,2.997686804
WinRAR m5,obj1.dat,21.0 KB,9.6 KB,2.185143786
WinRAR m5,obj2.dat,241.0 KB,69.6 KB,3.464931491
WinRAR m5,ooffice.dat,5.9 MB,2.2 MB,2.676173922
WinRAR m5,osdb.dat,9.6 MB,3.1 MB,3.128143129
WinRAR m5,paper1.dat,51.9 KB,17.8 KB,2.924630027
WinRAR m5,paper2.dat,80.3 KB,28.1 KB,2.855123307
WinRAR m5,pic.dat,501.2 KB,48.4 KB,10.34751401
WinRAR m5,progc.dat,38.7 KB,12.9 KB,3.000606015
WinRAR m5,progl.dat,70.0 KB,15.4 KB,4.535705242
WinRAR m5,progp.dat,48.2 KB,10.6 KB,4.569168132
WinRAR m5,reymont.dat,6.3 MB,1.4 MB,4.45103972
WinRAR m5,samba.dat,20.6 MB,4.0 MB,5.169977264
WinRAR m5,sao.dat,6.9 MB,5.3 MB,1.309263781
WinRAR m5,trans.dat,91.5 KB,17.6 KB,5.20325429
